iter,tokens_seen,train_loss,val_loss,val_ppl,lr,tokens_per_sec,mfu,grad_norm,h_norm_mean,h_delta_mean,h_delta_min,attn_ent_mean,step_losses
1940,127205376,4.4462,,,0.000276,57571,5.93,0.0000,,,,,
1950,127860736,4.3067,,,0.000276,55699,5.93,0.0000,,,,,
1960,128516096,4.6528,,,0.000276,55868,5.93,0.0000,,,,,
1970,129171456,4.5007,,,0.000275,55724,5.93,0.0000,,,,,
1980,129826816,4.4447,,,0.000275,55757,5.92,0.0000,,,,,
1990,130482176,4.5679,,,0.000275,55716,5.92,0.0000,,,,,
2000,131072000,4.4606,4.5588,95.47,0.000274,,5.92,,,,,,
2000,131137536,4.3588,,,0.000274,5151,5.38,0.0000,,,,,
2000,131137536,,,,,,,,0.6877,6.20701,3.68663,3.2709,
2010,131792896,4.3229,,,0.000274,55921,5.44,0.0000,,,,,
2020,132448256,4.4312,,,0.000274,55608,5.48,0.0000,,,,,
2030,133103616,4.4437,,,0.000273,55686,5.53,0.0000,,,,,
2040,133758976,4.3975,,,0.000273,55761,5.56,0.0000,,,,,
2050,134414336,4.4619,,,0.000273,56109,5.60,0.0000,,,,,
2060,135069696,4.4003,,,0.000272,55682,5.63,0.0000,,,,,
2070,135725056,4.3717,,,0.000272,55944,5.66,0.0000,,,,,
2080,136380416,4.2196,,,0.000271,55955,5.69,0.0000,,,,,
2090,137035776,4.3870,,,0.000271,55884,5.71,0.0000,,,,,
2100,137691136,4.3180,,,0.000271,55668,5.73,0.0000,,,,,
2110,138346496,4.3847,,,0.000270,55735,5.75,0.0000,,,,,
2120,139001856,4.3455,,,0.000270,55679,5.76,0.0000,,,,,
2130,139657216,4.3575,,,0.000270,55605,5.78,0.0000,,,,,
2140,140312576,4.2932,,,0.000269,55830,5.79,0.0000,,,,,
2150,140967936,4.3763,,,0.000269,55781,5.80,0.0000,,,,,
2160,141623296,4.2854,,,0.000269,55604,5.81,0.0000,,,,,
2170,142278656,4.3258,,,0.000268,55674,5.82,0.0000,,,,,
2180,142934016,4.4645,,,0.000268,55859,5.83,0.0000,,,,,
2190,143589376,4.5097,,,0.000268,55676,5.84,0.0000,,,,,
2200,144244736,4.3051,,,0.000267,55945,5.85,0.0000,,,,,
2210,144900096,4.6218,,,0.000267,56204,5.86,0.0000,,,,,
2220,145555456,4.2074,,,0.000266,55661,5.86,0.0000,,,,,
2230,146210816,4.3287,,,0.000266,55688,5.87,0.0000,,,,,
2240,146866176,4.4755,,,0.000266,55618,5.87,0.0000,,,,,
2250,147521536,4.3769,,,0.000265,55688,5.87,0.0000,,,,,
2260,148176896,4.2546,,,0.000265,124812,6.61,0.0000,,,,,
2270,148832256,4.3478,,,0.000265,55619,6.54,0.0000,,,,,
2280,149487616,4.3199,,,0.000264,55842,6.48,0.0000,,,,,
2290,150142976,4.3557,,,0.000264,55614,6.42,0.0000,,,,,
2300,150798336,4.4275,,,0.000263,55796,6.37,0.0000,,,,,
2310,151453696,4.4248,,,0.000263,55674,6.32,0.0000,,,,,
2320,152109056,4.5318,,,0.000263,55770,6.28,0.0000,,,,,
2330,152764416,4.3658,,,0.000262,55903,6.24,0.0000,,,,,
2340,153419776,4.3442,,,0.000262,55719,6.21,0.0000,,,,,
2350,154075136,4.2871,,,0.000261,55658,6.18,0.0000,,,,,
2360,154730496,4.3120,,,0.000261,55755,6.15,0.0000,,,,,
2370,155385856,4.2764,,,0.000261,55708,6.13,0.0000,,,,,
2380,156041216,4.3432,,,0.000260,55842,6.11,0.0000,,,,,
2390,156696576,4.4375,,,0.000260,55759,6.09,0.0000,,,,,
2400,157351936,4.4361,,,0.000259,55705,6.07,0.0000,,,,,
2410,158007296,4.3217,,,0.000259,55820,6.05,0.0000,,,,,
2420,158662656,4.3445,,,0.000259,55742,6.04,0.0000,,,,,
2430,159318016,4.2408,,,0.000258,55846,6.03,0.0000,,,,,
2440,159973376,4.4425,,,0.000258,55854,6.02,0.0000,,,,,
2450,160628736,4.3777,,,0.000257,55649,6.00,0.0000,,,,,
2460,161284096,4.4172,,,0.000257,55828,6.00,0.0000,,,,,
2470,161939456,4.3039,,,0.000257,55727,5.99,0.0000,,,,,
2480,162594816,4.3299,,,0.000256,55688,5.98,0.0000,,,,,
2490,163250176,4.3567,,,0.000256,55839,5.97,0.0000,,,,,
2500,163840000,4.3050,4.4399,84.76,0.000255,,5.97,,,,,,
2500,163905536,4.2943,,,0.000255,5133,5.43,0.0000,,,,,
2510,164560896,4.1587,,,0.000255,55833,5.48,0.0000,,,,,
2520,165216256,4.2325,,,0.000254,56104,5.53,0.0000,,,,,
2530,165871616,4.1612,,,0.000254,55969,5.57,0.0000,,,,,
2540,166526976,4.4666,,,0.000254,55850,5.60,0.0000,,,,,
