iter,tokens_seen,train_loss,val_loss,val_ppl,lr,tokens_per_sec,mfu,grad_norm,h_norm_mean,h_delta_mean,h_delta_min,attn_ent_mean,step_losses
1300,85262336,4.6728,,,0.000292,87417,20.77,0.0000,,,,,
1310,85917696,4.6365,,,0.000292,87111,20.78,0.0000,,,,,
1320,86573056,4.4064,,,0.000292,87014,20.78,0.0000,,,,,
1330,87228416,4.5667,,,0.000292,87132,20.79,0.0000,,,,,
1340,87883776,4.2759,,,0.000292,87135,20.79,0.0000,,,,,
1350,88539136,4.7079,,,0.000292,87449,20.80,0.0000,,,,,
1360,89194496,4.5444,,,0.000291,86664,20.80,0.0000,,,,,
1370,89849856,4.5498,,,0.000291,86999,20.80,0.0000,,,,,
1380,90505216,4.4135,,,0.000291,87189,20.80,0.0000,,,,,
1390,91160576,4.4626,,,0.000291,86937,20.80,0.0000,,,,,
1400,91815936,4.6031,,,0.000291,87014,20.80,0.0000,,,,,
1410,92471296,4.5183,,,0.000290,87200,20.81,0.0000,,,,,
1420,93126656,4.3527,,,0.000290,87324,20.81,0.0000,,,,,
1430,93782016,4.5155,,,0.000290,87342,20.82,0.0000,,,,,
1440,94437376,4.4135,,,0.000290,87107,20.82,0.0000,,,,,
1450,95092736,4.4542,,,0.000289,86825,20.82,0.0000,,,,,
1460,95748096,4.2583,,,0.000289,87297,20.82,0.0000,,,,,
1470,96403456,4.4799,,,0.000289,87499,20.83,0.0000,,,,,
1480,97058816,4.2946,,,0.000289,87346,20.84,0.0000,,,,,
1490,97714176,4.5148,,,0.000289,87128,20.84,0.0000,,,,,
1500,98304000,4.4140,4.5109,91.01,0.000288,,20.84,,,,,,
1500,98369536,4.5853,,,0.000288,7634,18.94,0.0000,,,,,
1510,99024896,4.5002,,,0.000288,87240,19.13,0.0000,,,,,
1520,99680256,4.4231,,,0.000288,87529,19.31,0.0000,,,,,
1530,100335616,4.3026,,,0.000288,87760,19.48,0.0000,,,,,
1540,100990976,4.3895,,,0.000287,87440,19.62,0.0000,,,,,
1550,101646336,4.4734,,,0.000287,87152,19.74,0.0000,,,,,
1560,102301696,4.6532,,,0.000287,86950,19.85,0.0000,,,,,
1570,102957056,4.2672,,,0.000287,87457,19.95,0.0000,,,,,
1580,103612416,4.2755,,,0.000286,87356,20.05,0.0000,,,,,
1590,104267776,4.3712,,,0.000286,87244,20.13,0.0000,,,,,
1600,104923136,4.4145,,,0.000286,87132,20.20,0.0000,,,,,
1610,105578496,4.2914,,,0.000286,87066,20.26,0.0000,,,,,
1620,106233856,4.4371,,,0.000285,87391,20.32,0.0000,,,,,
1630,106889216,4.1479,,,0.000285,87130,20.37,0.0000,,,,,
1640,107544576,4.4637,,,0.000285,87203,20.42,0.0000,,,,,
1650,108199936,4.4097,,,0.000285,87010,20.46,0.0000,,,,,
1660,108855296,4.3844,,,0.000284,87005,20.49,0.0000,,,,,
1670,109510656,4.1500,,,0.000284,87371,20.53,0.0000,,,,,
1680,110166016,4.3226,,,0.000284,86829,20.56,0.0000,,,,,
1690,110821376,4.0755,,,0.000284,87200,20.59,0.0000,,,,,
1700,111476736,4.3385,,,0.000283,87019,20.61,0.0000,,,,,
1710,112132096,4.2080,,,0.000283,87080,20.63,0.0000,,,,,
1720,112787456,4.2651,,,0.000283,87586,20.66,0.0000,,,,,
1730,113442816,4.3951,,,0.000282,87037,20.68,0.0000,,,,,
1740,114098176,4.2479,,,0.000282,87193,20.69,0.0000,,,,,
1750,114753536,4.4055,,,0.000282,87008,20.70,0.0000,,,,,
1760,115408896,4.1924,,,0.000282,87106,20.72,0.0000,,,,,
1770,116064256,4.3662,,,0.000281,87354,20.73,0.0000,,,,,
1780,116719616,4.3079,,,0.000281,87137,20.74,0.0000,,,,,
1790,117374976,4.3104,,,0.000281,87135,20.75,0.0000,,,,,
1800,118030336,4.1611,,,0.000280,87164,20.76,0.0000,,,,,
