iter,tokens_seen,train_loss,val_loss,val_ppl,lr,tokens_per_sec,mfu,grad_norm,h_norm_mean,h_delta_mean,h_delta_min,attn_ent_mean,step_losses
1200,19677184,2.6461,,,0.000298,228896,7.53,0.0000,,,,,
1210,19841024,2.6132,,,0.000298,219168,7.53,0.0000,,,,,
1220,20004864,2.6170,,,0.000298,224992,7.54,0.0000,,,,,
1230,20168704,2.6054,,,0.000298,228445,7.57,0.0000,,,,,
1240,20332544,2.5474,,,0.000298,220341,7.56,0.0000,,,,,
1250,20496384,2.5946,,,0.000298,219661,7.55,0.0000,,,,,
1260,20660224,2.6511,,,0.000298,220807,7.55,0.0000,,,,,
1270,20824064,2.5797,,,0.000298,220378,7.55,0.0000,,,,,
1280,20987904,2.5893,,,0.000298,220597,7.54,0.0000,,,,,
1290,21151744,2.6846,,,0.000298,220757,7.54,0.0000,,,,,
1300,21315584,2.6275,,,0.000298,228279,7.56,0.0000,,,,,
1310,21479424,2.6384,,,0.000298,226736,7.58,0.0000,,,,,
1320,21643264,2.5877,,,0.000298,773641,9.46,0.0000,,,,,
1330,21807104,2.5216,,,0.000298,772824,11.15,0.0000,,,,,
1340,21970944,2.6699,,,0.000298,773311,12.67,0.0000,,,,,
1350,22134784,2.5382,,,0.000298,772233,14.03,0.0000,,,,,
1360,22298624,2.5766,,,0.000298,799938,15.35,0.0000,,,,,
1370,22462464,2.5092,,,0.000298,773432,16.45,0.0000,,,,,
1380,22626304,2.5387,,,0.000298,742464,17.34,0.0000,,,,,
1390,22790144,2.5461,,,0.000298,741127,18.13,0.0000,,,,,
1400,22953984,2.5468,,,0.000298,742231,18.85,0.0000,,,,,
1410,23117824,2.5543,,,0.000298,740719,19.49,0.0000,,,,,
1420,23281664,2.4995,,,0.000297,742263,20.07,0.0000,,,,,
1430,23445504,2.5557,,,0.000297,741246,20.59,0.0000,,,,,
1440,23609344,2.4859,,,0.000297,772980,21.16,0.0000,,,,,
1450,23773184,2.4880,,,0.000297,773067,21.68,0.0000,,,,,
1460,23937024,2.4823,,,0.000297,773293,22.15,0.0000,,,,,
1470,24100864,2.4910,,,0.000297,773755,22.57,0.0000,,,,,
1480,24264704,2.4432,,,0.000297,772190,22.94,0.0000,,,,,
1490,24428544,2.5083,,,0.000297,771713,23.28,0.0000,,,,,
1500,24576000,2.5128,2.5122,12.33,0.000297,,23.28,,,,,,
1500,24592384,2.5002,,,0.000297,5879,20.97,0.0000,,,,,
1510,24756224,2.5518,,,0.000297,233075,19.67,0.0000,,,,,
